"keyword","appearance_count","average_impact","total_impact"
"attack","2","0.14313249150291085","0.2862649830058217"
"costly","1","0.14218473876826465","0.14218473876826465"
"isis","2","0.14217427764864018","0.28434855529728037"
"woke","1","0.1412704959511757","0.1412704959511757"
"burning","11","0.14030763093967724","1.5433839403364495"
"rise","2","0.14014333731029183","0.28028667462058365"
"firefighters","1","0.1377604682929814","0.1377604682929814"
"hurled","1","0.13757760921726003","0.13757760921726003"
"fatal","5","0.13713807887397705","0.6856903943698853"
"saudi","1","0.1371229854412377","0.1371229854412377"
"bot","1","0.13631974253803492","0.13631974253803492"
"pakistan","2","0.1362254772684537","0.2724509545369074"
"buildings","13","0.13585939221770668","1.766172098830187"
"wounded","1","0.13527000994266322","0.13527000994266322"
"lies","1","0.1347147524356842","0.1347147524356842"
"lives","1","0.13401083985809237","0.13401083985809237"
"humidity","1","0.1317352543119341","0.1317352543119341"
"act","1","0.13159564044326544","0.13159564044326544"
"rain","1","0.13157398521434516","0.13157398521434516"
"meet","1","0.12997985212132335","0.12997985212132335"
"catastrophic","6","0.12880650302395225","0.7728390181437135"
"heard","1","0.1266195232165046","0.1266195232165046"
"survive","1","0.1263481811620295","0.1263481811620295"
"tension","1","0.12586418708087876","0.12586418708087876"
"alaska","1","0.12458812445402145","0.12458812445402145"
"war","1","0.12377962679602206","0.12377962679602206"
"home","1","0.12272442574612796","0.12272442574612796"
"ghetto","1","0.1225470311474055","0.1225470311474055"
"crept","1","0.12135090725496411","0.12135090725496411"
"violent","6","0.12095536679650347","0.7257322007790208"
"tested","1","0.11961642606183887","0.11961642606183887"
"monkeys","1","0.11892716633155942","0.11892716633155942"
"near","4","0.11787680489942431","0.47150721959769726"
"gunn","1","0.11742242140462622","0.11742242140462622"
"bridge","2","0.11731515073915944","0.23463030147831887"
"diving","1","0.11692038550972939","0.11692038550972939"
"marines","1","0.11690407454734668","0.11690407454734668"
"ship","1","0.11663658334873617","0.11663658334873617"
"iran","2","0.11408034231862985","0.2281606846372597"
"aggressive","1","0.11359033361077309","0.11359033361077309"
"died","1","0.11164343752898276","0.11164343752898276"
"westward","1","0.11149467481300235","0.11149467481300235"
"ailed","4","0.1114467607694678","0.4457870430778712"
"hacker","1","0.11138128465972841","0.11138128465972841"
"alabama","1","0.11091413092799485","0.11091413092799485"
"gasoline","1","0.11058079730719328","0.11058079730719328"
"protest","2","0.110554919752758","0.221109839505516"
"maintenance","1","0.10903072252403945","0.10903072252403945"
"suicide","3","0.10843727220263745","0.32531181660791236"
"apartments","1","0.10807509848382324","0.10807509848382324"
"arson","6","0.10792804466715704","0.6475682680029422"
"dun","1","0.1074192498344928","0.1074192498344928"
"deaths","1","0.10708874952979386","0.10708874952979386"
"ems","1","0.10647626325953752","0.10647626325953752"
"falling","1","0.10614475375041366","0.10614475375041366"
"icy","1","0.10584665031637996","0.10584665031637996"
"lagos","1","0.10411206947173923","0.10411206947173923"
"sink","5","0.10363834246527404","0.5181917123263702"
"reunite","1","0.10358259896747768","0.10358259896747768"
"jam","1","0.10295081697404385","0.10295081697404385"
"nigeria","2","0.10288476705318317","0.20576953410636634"
"san","1","0.10283347638323903","0.10283347638323903"
"seen","1","0.10232607158832252","0.10232607158832252"
"but","1","0.1019667973741889","0.1019667973741889"
"mining","3","0.1016961979265842","0.3050885937797526"
"there","12","0.10137718949085361","1.2165262738902434"
"tragedy","2","0.10076833874969136","0.20153667749938273"
"trauma","2","0.0996284979628399","0.1992569959256798"
"environmental","1","0.0995362144894898","0.0995362144894898"
"wave","5","0.0981922767823562","0.490961383911781"
"avi","1","0.09753664024174213","0.09753664024174213"
"issue","1","0.09712148668477312","0.09712148668477312"
"eft","1","0.09672486657897632","0.09672486657897632"
"investigating","1","0.09664915117900819","0.09664915117900819"
"military","3","0.09640977477344374","0.2892293243203312"
"burn","1","0.09484461310785264","0.09484461310785264"
"pts","1","0.09465852455468848","0.09465852455468848"
"death","3","0.09427673237708707","0.28283019713126123"
"mite","1","0.09379103546962142","0.09379103546962142"
"debt","1","0.09356535971164703","0.09356535971164703"
"security","1","0.09323307196609676","0.09323307196609676"
"lawsuit","1","0.0930947974557057","0.0930947974557057"
"sparked","1","0.09184877993538976","0.09184877993538976"
"evidence","2","0.09164589777356014","0.18329179554712027"
"study","1","0.09143003821372986","0.09143003821372986"
"larger","2","0.09128802997292951","0.18257605994585901"
"cute","3","0.090709761748763","0.272129285246289"
"billion","1","0.08932471834123135","0.08932471834123135"
"truck","6","0.08841726762087394","0.5305036057252437"
"danger","2","0.08827715064398944","0.1765543012879789"
"community","1","0.08824005560018122","0.08824005560018122"
"river","3","0.08760746944850932","0.26282240834552795"
"sirens","2","0.08718740328913555","0.1743748065782711"
"township","1","0.08708238950930536","0.08708238950930536"
"drill","3","0.08688288965883355","0.26064866897650063"
"see","3","0.08651366752261917","0.2595410025678575"
"rescue","2","0.0862332533482307","0.1724665066964614"
"wreck","2","0.08598576529766433","0.17197153059532866"
"progress","1","0.08503793075215071","0.08503793075215071"
"east","3","0.08464329728546242","0.25392989185638726"
"beach","1","0.08427331470884383","0.08427331470884383"
"ame","1","0.08358065085485578","0.08358065085485578"
"asylum","1","0.0832956259449323","0.0832956259449323"
"baghdad","1","0.08300818751255672","0.08300818751255672"
"apocalypse","6","0.08280508639290929","0.49683051835745573"
"mafia","1","0.08279172470793128","0.08279172470793128"
"scheme","1","0.08268615510314703","0.08268615510314703"
"when","4","0.08247338767978363","0.3298935507191345"
"tness","2","0.08218806295190006","0.16437612590380013"
"viere","1","0.08199418289586902","0.08199418289586902"
"drive","1","0.08188076072838157","0.08188076072838157"
"coast","1","0.08149614522699267","0.08149614522699267"
"continued","1","0.08141822216566652","0.08141822216566652"
"huge","2","0.08117311779642478","0.16234623559284955"
"take","3","0.0811601773602888","0.2434805320808664"
"hunt","1","0.08041616785340011","0.08041616785340011"
"big","1","0.08002218324691057","0.08002218324691057"
"hi","11","0.07978315919524794","0.8776147511477272"
"week","1","0.0791926383972168","0.0791926383972168"
"jeep","1","0.07915148651227355","0.07915148651227355"
