"keyword","appearance_count","average_impact","total_impact"
"larger","2","0.09128802997292951","0.18257605994585901"
"l","8","0.022734191315456495","0.18187353052365196"
"not","5","0.03616043609411766","0.1808021804705883"
"raft","1","0.17901012324728072","0.17901012324728072"
"danger","2","0.08827715064398944","0.1765543012879789"
"sirens","2","0.08718740328913555","0.1743748065782711"
"defend","1","0.17287889821454883","0.17287889821454883"
"rescue","2","0.0862332533482307","0.1724665066964614"
"underwater","1","0.1723133127670735","0.1723133127670735"
"wreck","2","0.08598576529766433","0.17197153059532866"
"be","6","0.02853915929639091","0.17123495577834547"
"defects","1","0.1694530782988295","0.1694530782988295"
"arrived","1","0.16905521391890943","0.16905521391890943"
"threats","1","0.16845760960131884","0.16845760960131884"
"disease","1","0.1681171888485551","0.1681171888485551"
"infamous","1","0.16723139164969325","0.16723139164969325"
"lo","5","0.0333185325542997","0.1665926627714985"
"unrest","1","0.16442028828896582","0.16442028828896582"
"tness","2","0.08218806295190006","0.16437612590380013"
"ft","4","0.04082770710616993","0.16331082842467973"
"got","5","0.032601163676008585","0.1630058183800429"
"huge","2","0.08117311779642478","0.16234623559284955"
"resulting","1","0.1617616517469287","0.1617616517469287"
"rries","1","0.1586757288314402","0.1586757288314402"
"chico","1","0.15832230844534934","0.15832230844534934"
"remember","1","0.15762401442043483","0.15762401442043483"
"change","4","0.0393873599532526","0.1575494398130104"
"off","3","0.05214299636944716","0.15642898910834147"
"blamed","1","0.1560256292577833","0.1560256292577833"
"exits","1","0.15546139667276293","0.15546139667276293"
"airplane","2","0.07727584114117134","0.15455168228234267"
"torm","2","0.07712229521712288","0.15424459043424577"
"south","2","0.07699484919430688","0.15398969838861376"
"u","5","0.03048902644077316","0.1524451322038658"
"half","3","0.05064806830844334","0.15194420492533"
"tidal","1","0.15116734325420111","0.15116734325420111"
"m","4","0.037604854927243046","0.15041941970897219"
"die","3","0.049339670626934444","0.14801901188080333"
"damage","1","0.14553790527861565","0.14553790527861565"
"problems","1","0.14502344210632145","0.14502344210632145"
"has","6","0.02392414976898378","0.14354489861390268"
"structural","2","0.07112819486064836","0.14225638972129673"
"ca","4","0.03554852356319316","0.14219409425277263"
"costly","1","0.14218473876826465","0.14218473876826465"
"trying","2","0.07095197627398496","0.14190395254796992"
"mo","2","0.07091568945907056","0.14183137891814113"
"uk","5","0.028328047995455564","0.14164023997727782"
"p","7","0.020213338053075687","0.14149336637152982"
"woke","1","0.1412704959511757","0.1412704959511757"
"firefighters","1","0.1377604682929814","0.1377604682929814"
"hurled","1","0.13757760921726003","0.13757760921726003"
"saudi","1","0.1371229854412377","0.1371229854412377"
"bot","1","0.13631974253803492","0.13631974253803492"
"n","7","0.01932730957631445","0.13529116703420113"
"wounded","1","0.13527000994266322","0.13527000994266322"
"lies","1","0.1347147524356842","0.1347147524356842"
"lives","1","0.13401083985809237","0.13401083985809237"
"was","4","0.03323464230116871","0.13293856920467484"
"worldwide","3","0.04426720839304229","0.13280162517912686"
"suffering","2","0.06622334247610222","0.13244668495220444"
"humidity","1","0.1317352543119341","0.1317352543119341"
"act","1","0.13159564044326544","0.13159564044326544"
"rain","1","0.13157398521434516","0.13157398521434516"
"for","6","0.021899921431516606","0.13139952858909965"
"meet","1","0.12997985212132335","0.12997985212132335"
"heard","1","0.1266195232165046","0.1266195232165046"
"survive","1","0.1263481811620295","0.1263481811620295"
"i","9","0.01401896552426764","0.12617068971840875"
"de","4","0.03154170236666687","0.12616680946666747"
"tension","1","0.12586418708087876","0.12586418708087876"
"at","8","0.015654592859165418","0.12523674287332334"
"alaska","1","0.12458812445402145","0.12458812445402145"
"dog","2","0.06222107131034136","0.12444214262068272"
"war","1","0.12377962679602206","0.12377962679602206"
"dr","3","0.04121534688775206","0.12364604066325618"
"had","2","0.06169943268954133","0.12339886537908266"
"home","1","0.12272442574612796","0.12272442574612796"
"ghetto","1","0.1225470311474055","0.1225470311474055"
"wi","3","0.04080820044813057","0.1224246013443917"
"against","2","0.06076215906068683","0.12152431812137365"
"crept","1","0.12135090725496411","0.12135090725496411"
"know","2","0.05996869091177359","0.11993738182354718"
"tested","1","0.11961642606183887","0.11961642606183887"
"time","4","0.029778722644550726","0.1191148905782029"
"monkeys","1","0.11892716633155942","0.11892716633155942"
"gunn","1","0.11742242140462622","0.11742242140462622"
"diving","1","0.11692038550972939","0.11692038550972939"
"marines","1","0.11690407454734668","0.11690407454734668"
"ship","1","0.11663658334873617","0.11663658334873617"
"trapped","2","0.058158405765425414","0.11631681153085083"
"from","2","0.05785311228828505","0.1157062245765701"
"aggressive","1","0.11359033361077309","0.11359033361077309"
"bay","2","0.05648189555504359","0.11296379111008718"
"died","1","0.11164343752898276","0.11164343752898276"
"westward","1","0.11149467481300235","0.11149467481300235"
"hacker","1","0.11138128465972841","0.11138128465972841"
"alabama","1","0.11091413092799485","0.11091413092799485"
"id","4","0.027693759853718802","0.11077503941487521"
"gasoline","1","0.11058079730719328","0.11058079730719328"
"apollo","2","0.05514817184302956","0.11029634368605912"
"can","3","0.03670818656904711","0.11012455970714134"
"ila","2","0.05494628419789176","0.10989256839578351"
"maintenance","1","0.10903072252403945","0.10903072252403945"
"apartments","1","0.10807509848382324","0.10807509848382324"
"dun","1","0.1074192498344928","0.1074192498344928"
"deaths","1","0.10708874952979386","0.10708874952979386"
"china","2","0.05335545667912811","0.10671091335825622"
"ems","1","0.10647626325953752","0.10647626325953752"
"falling","1","0.10614475375041366","0.10614475375041366"
"dies","2","0.05299950868356973","0.10599901736713946"
"mine","2","0.05299217413412407","0.10598434826824814"
"icy","1","0.10584665031637996","0.10584665031637996"
"d","6","0.017544674130234247","0.10526804478140547"
"india","3","0.035007904736428626","0.10502371420928587"
"area","2","0.05240223652799614","0.10480447305599228"
"x","5","0.020907345049877478","0.1045367252493874"
"g","5","0.020854690503329037","0.10427345251664519"
"lagos","1","0.10411206947173923","0.10411206947173923"
"ne","5","0.020811975172255186","0.10405987586127594"
"reunite","1","0.10358259896747768","0.10358259896747768"
"monium","2","0.05154590995516628","0.10309181991033256"
"jam","1","0.10295081697404385","0.10295081697404385"
"san","1","0.10283347638323903","0.10283347638323903"
"seen","1","0.10232607158832252","0.10232607158832252"
"but","1","0.1019667973741889","0.1019667973741889"
"pm","2","0.05095252924365923","0.10190505848731846"
"ew","2","0.05056315396601955","0.1011263079320391"
"atlanta","2","0.050156755702725306","0.10031351140545061"
"environmental","1","0.0995362144894898","0.0995362144894898"
"site","2","0.04975046333856881","0.09950092667713761"
"metro","2","0.04939549025253985","0.0987909805050797"
"avi","1","0.09753664024174213","0.09753664024174213"
"en","4","0.024327268037346323","0.09730907214938529"
"issue","1","0.09712148668477312","0.09712148668477312"
"help","3","0.03228831079064144","0.09686493237192433"
"governor","2","0.048406445246655494","0.09681289049331099"
"eft","1","0.09672486657897632","0.09672486657897632"
"investigating","1","0.09664915117900819","0.09664915117900819"
"account","2","0.04815442278049886","0.09630884556099772"
"today","2","0.04770535678835586","0.09541071357671171"
"wo","4","0.0237447004619753","0.0949788018479012"
"burn","1","0.09484461310785264","0.09484461310785264"
"pts","1","0.09465852455468848","0.09465852455468848"
"melt","2","0.04702792640420653","0.09405585280841305"
"mite","1","0.09379103546962142","0.09379103546962142"
"debt","1","0.09356535971164703","0.09356535971164703"
"men","4","0.023330424947198482","0.09332169978879393"
"security","1","0.09323307196609676","0.09323307196609676"
"lawsuit","1","0.0930947974557057","0.0930947974557057"
"sparked","1","0.09184877993538976","0.09184877993538976"
"hazard","2","0.045903417747467756","0.09180683549493551"
"night","2","0.04573933774372563","0.09147867548745126"
"study","1","0.09143003821372986","0.09143003821372986"
"w","6","0.015035772685512221","0.09021463611307333"
"ity","2","0.04502463713288307","0.09004927426576614"
"billion","1","0.08932471834123135","0.08932471834123135"
"ad","4","0.022218413575319576","0.0888736543012783"
"f","5","0.017665990170956193","0.08832995085478096"
"community","1","0.08824005560018122","0.08824005560018122"
"boat","2","0.043938707385677844","0.08787741477135569"
"township","1","0.08708238950930536","0.08708238950930536"
"pc","3","0.029020532238711084","0.08706159671613325"
"mi","3","0.02882930913862462","0.08648792741587386"
"progress","1","0.08503793075215071","0.08503793075215071"
"two","4","0.021213597023493742","0.08485438809397497"
"go","4","0.021149415013496764","0.08459766005398706"
"beach","1","0.08427331470884383","0.08427331470884383"
"ame","1","0.08358065085485578","0.08358065085485578"
"asylum","1","0.0832956259449323","0.0832956259449323"
"baghdad","1","0.08300818751255672","0.08300818751255672"
"mafia","1","0.08279172470793128","0.08279172470793128"
"scheme","1","0.08268615510314703","0.08268615510314703"
"led","2","0.04133046173956245","0.0826609234791249"
"southern","2","0.04126096225809306","0.08252192451618612"
"if","3","0.027413330584143598","0.0822399917524308"
"man","3","0.027366566501074923","0.08209969950322477"
"viere","1","0.08199418289586902","0.08199418289586902"
"drive","1","0.08188076072838157","0.08188076072838157"
"coast","1","0.08149614522699267","0.08149614522699267"
"continued","1","0.08141822216566652","0.08141822216566652"
"cd","2","0.040386711014434695","0.08077342202886939"
"went","2","0.040251453863068797","0.08050290772613759"
"ail","2","0.04024916281923652","0.08049832563847303"
"hunt","1","0.08041616785340011","0.08041616785340011"
"with","3","0.026794643548782915","0.08038393064634874"
"big","1","0.08002218324691057","0.08002218324691057"
"evacuated","2","0.039752107859716154","0.07950421571943231"
"week","1","0.0791926383972168","0.0791926383972168"
"jeep","1","0.07915148651227355","0.07915148651227355"
"getting","2","0.03942123259184882","0.07884246518369764"
"stops","1","0.07875536591745913","0.07875536591745913"
"kenya","2","0.03933427427546121","0.07866854855092242"
"without","2","0.03922753286121103","0.07845506572242206"
"eb","1","0.07801229611504823","0.07801229611504823"
"also","2","0.03893927892204374","0.07787855784408748"
"ilation","2","0.03889690878568217","0.07779381757136435"
"blocks","1","0.07712305465247482","0.07712305465247482"
"ist","3","0.025669962167739868","0.0770098865032196"
"ri","1","0.07652875245548785","0.07652875245548785"
"se","2","0.038186229299753904","0.07637245859950781"
"england","3","0.02517320387996733","0.07551961163990199"
"road","1","0.07537273550406098","0.07537273550406098"
"th","2","0.0376812981441617","0.0753625962883234"
"scared","1","0.07522378931753337","0.07522378931753337"
"trend","1","0.07436490163672715","0.07436490163672715"
"occurred","1","0.07335486472584307","0.07335486472584307"
"relief","1","0.07328701775986701","0.07328701775986701"
"dying","1","0.07327949488535523","0.07327949488535523"
"ea","1","0.07313867600169033","0.07313867600169033"
"reports","1","0.07260285224765539","0.07260285224765539"
"usa","4","0.018085811920334687","0.07234324768133875"
"drifting","1","0.07224266522098333","0.07224266522098333"
"eration","1","0.07216653280192986","0.07216653280192986"
"o","2","0.03586565132718533","0.07173130265437067"
"saying","1","0.07167554167764527","0.07167554167764527"
"iel","1","0.07166957191657275","0.07166957191657275"
"days","2","0.035230685491114855","0.07046137098222971"
"sight","1","0.0699504598742351","0.0699504598742351"
"olate","3","0.023297440249007192","0.06989232074702158"
"pa","4","0.017396979907061905","0.06958791962824762"
"brown","2","0.03454770322423428","0.06909540644846857"
"part","1","0.069070992001798","0.069070992001798"
"came","1","0.06831614459709574","0.06831614459709574"
"coal","1","0.06757779524195939","0.06757779524195939"
"face","2","0.03372985328314826","0.06745970656629652"
"london","3","0.02248528690225529","0.06745586070676587"
"pp","3","0.02235153950750828","0.06705461852252484"
"ror","2","0.033485997293610126","0.06697199458722025"
"fresno","2","0.033463247935287654","0.06692649587057531"
"accuse","1","0.06675921566784382","0.06675921566784382"
"some","2","0.03328560653608292","0.06657121307216585"
"believe","1","0.06648954469710588","0.06648954469710588"
"wednesday","1","0.06641141321354856","0.06641141321354856"
"hour","1","0.06613846449181437","0.06613846449181437"
"los","2","0.03296256344765425","0.0659251268953085"
"demolition","1","0.06577110465150326","0.06577110465150326"
"putin","1","0.06573959719389677","0.06573959719389677"
"effects","1","0.06544780812691897","0.06544780812691897"
"des","3","0.02179109901577855","0.06537329704733565"
"ako","1","0.06532884412445128","0.06532884412445128"
"pro","2","0.03259785162351493","0.06519570324702986"
"sho","3","0.021698180831865307","0.06509454249559592"
"testing","1","0.06494921538978815","0.06494921538978815"
"mountain","1","0.06493571148409198","0.06493571148409198"
"back","3","0.021602668282058504","0.06480800484617551"
"uge","2","0.03224873487488367","0.06449746974976733"
"failure","2","0.03213486401364207","0.06426972802728415"
"mk","1","0.06371038383804262","0.06371038383804262"
"bbc","2","0.031623384542763235","0.06324676908552647"
"fighter","1","0.06299528200179338","0.06299528200179338"
"would","2","0.03144973429152742","0.06289946858305484"
"h","3","0.02090754798458268","0.06272264395374805"
"plan","4","0.01564213416228692","0.06256853664914767"
"coming","2","0.031227505212882534","0.06245501042576507"
"significant","1","0.06226321368012577","0.06226321368012577"
"da","1","0.06211272091604769","0.06211272091604769"
"e","4","0.01551694132725797","0.06206776530903188"
"rance","1","0.06198477108652393","0.06198477108652393"
"another","2","0.03098348058604946","0.06196696117209892"
